time_s,power_MW,power_pct,P_electric_MW,T_fuel_C,T_in_C,T_out_C,T_cool_avg_C,P_prim_MPa,P_sec_MPa,D_steam_kg_s,D_turb_kg_s,W_prim_kg_s,level_pzr_m,level_sg_m,reactivity_total_pcm,reactivity_doppler_pcm,reactivity_coolant_pcm,reactivity_rods_pcm
46.90,3237.57,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
46.95,3237.57,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
47.00,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
47.05,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
47.10,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
47.15,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.84,56.97
47.20,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.84,56.97
47.25,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.84,56.97
47.30,3237.58,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.84,56.97
47.35,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.40,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.45,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.50,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.55,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.60,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.65,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.70,3237.59,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.10,-44.84,56.97
47.75,3237.60,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
47.80,3237.60,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
47.85,3237.60,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.63,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
47.90,3237.60,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
47.95,3237.60,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
48.00,3237.60,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.03,-12.11,-44.83,56.97
48.05,3237.60,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.10,3237.60,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.15,3237.61,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.20,3237.61,101.18,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.25,3237.61,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.30,3237.61,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.83,56.97
48.35,3237.61,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.40,3237.61,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.45,3237.61,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.50,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.55,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.62,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.60,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.65,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.70,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.75,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.80,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.04,-12.11,-44.82,56.97
48.85,3237.62,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.05,-12.11,-44.82,56.97
48.90,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.05,-12.11,-44.82,56.97
48.95,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.00,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.62,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.05,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.10,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.15,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.20,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.25,3237.63,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.30,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.35,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.40,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.45,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.50,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.55,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.60,3237.64,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.81,56.97
49.65,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.80,56.97
49.70,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.05,-12.11,-44.80,56.97
49.75,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
49.80,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
49.85,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
49.90,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.61,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
49.95,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.00,3237.65,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.05,3237.66,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.10,3237.66,101.18,1201.89,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.15,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.20,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.25,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.30,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.80,56.97
50.35,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.61,17600.0,6.331,2.400,0.06,-12.11,-44.79,56.97
50.40,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.11,-44.79,56.97
50.45,3237.66,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.50,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.55,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.60,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.65,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.70,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.75,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.06,-12.12,-44.79,56.97
50.80,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
50.85,3237.67,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
50.90,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
50.95,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
51.00,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
51.05,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
51.10,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.79,56.97
51.15,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.20,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.25,3237.68,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.30,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.35,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.40,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.45,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.50,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.60,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.55,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.60,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.65,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.70,3237.69,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.75,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.80,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.85,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.90,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
51.95,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.60,17600.0,6.331,2.400,0.07,-12.12,-44.78,56.97
52.00,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.07,-12.12,-44.77,56.97
52.05,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.07,-12.12,-44.77,56.97
52.10,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.07,-12.12,-44.77,56.97
52.15,3237.70,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.20,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.25,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.30,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.35,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.40,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.45,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.50,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.55,3237.71,101.18,1201.88,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.60,3237.71,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.65,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.70,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.12,-44.77,56.97
52.75,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.77,56.97
52.80,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.77,56.97
52.85,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.77,56.97
52.90,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.77,56.97
52.95,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.00,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.05,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.10,3237.72,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.15,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.20,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.25,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.30,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.35,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.40,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.45,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.50,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.55,3237.73,101.18,1201.87,604.66,299.51,329.85,314.68,16.350,7.096,1797.59,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.60,3237.73,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.65,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.70,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.75,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.80,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.85,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.90,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
53.95,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.08,-12.13,-44.76,56.97
54.00,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.59,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.05,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.10,3237.74,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.15,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.20,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.25,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.30,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.35,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.40,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.45,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.50,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.55,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.60,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.65,3237.75,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.70,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.75,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.80,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.85,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.90,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
54.95,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
55.00,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
55.05,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.13,-44.75,56.97
55.10,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.14,-44.75,56.97
55.15,3237.76,101.18,1201.87,604.67,299.51,329.85,314.68,16.350,7.096,1797.58,1797.58,17600.0,6.331,2.400,0.09,-12.14,-44.75,56.97
